sabata	sabat'a
sabataj	sabat'a'j
sabatajn	sabat'a'j'n
sabatan	sabat'a'n
sabate	sabat'e
sabato	sabat'o
sabatoj	sabat'o'j
sabatojn	sabat'o'j'n
sabaton	sabat'o'n
sabatdimanĉa	sabat'dimanĉ'a
sabatleĝoj	sabat'leĝ'o'j
sabatmatena	sabat'maten'a
sabatmatene	sabat'maten'e
sabatmateno	sabat'maten'o
sabatmatenoj	sabat'maten'o'j
sabatmatenbildstrioj	sabat'maten'bild'stri'o'j
sabatnokto	sabat'nokt'o
sabatnoktoj	sabat'nokt'o'j
sabatorgio	sabat'orgi'o
sabatorgioj	sabat'orgi'o'j
sabatorgion	sabat'orgi'o'n
sabatposttagmezo	sabat'post'tag'mez'o
sabatvespera	sabat'vesper'a
sabatvespere	sabat'vesper'e
sabatvesperon	sabat'vesper'o'n
sabeliko	sabelik'o
sabla	sabl'a
sablaj	sabl'a'j
sablajn	sabl'a'j'n
sablan	sabl'a'n
sablas	sabl'as
sable	sabl'e
sablis	sabl'is
sablo	sabl'o
sabloj	sabl'o'j
sablojn	sabl'o'j'n
sablon	sabl'o'n
sablado	sabl'ad'o
sabladkapoj	sabl'ad'kap'o'j
sablaĵo	sabl'aĵ'o
sablaĵoj	sabl'aĵ'o'j
sablaĵojn	sabl'aĵ'o'j'n
sablaĵon	sabl'aĵ'o'n
sablaro	sabl'ar'o
sableca	sabl'ec'a
sablecaj	sabl'ec'a'j
sablejo	sabl'ej'o
sablejoj	sabl'ej'o'j
sablejojn	sabl'ej'o'j'n
sablejon	sabl'ej'o'n
sablero	sabl'er'o
sableroj	sabl'er'o'j
sablerojn	sabl'er'o'j'n
sableron	sabl'er'o'n
sabliĝo	sabl'iĝ'o
sablita	sabl'it'a
sablobano	sabl'o'ban'o
sablobara	sabl'o'bar'a
sablobenko	sabl'o'benk'o
sablobenkoj	sabl'o'benk'o'j
sabloblovumado	sabl'o'blov'um'ad'o
sabloboato	sabl'o'boat'o
sabloboaton	sabl'o'boat'o'n
sablobordo	sabl'o'bord'o
sablobrikoj	sabl'o'brik'o'j
sablobruna	sabl'o'brun'a
sablobrunaj	sabl'o'brun'a'j
sabloburgon	sabl'o'burg'o'n
sablocementa	sabl'o'cement'a
sablodorso	sabl'o'dors'o
sablodorsoj	sabl'o'dors'o'j
sabloduno	sabl'o'dun'o
sablodunoj	sabl'o'dun'o'j
sablodunojn	sabl'o'dun'o'j'n
sablofiltriloj	sabl'o'filtr'il'o'j
sablogisado	sabl'o'gis'ad'o
sablograjnoj	sabl'o'grajn'o'j
sablograjnojn	sabl'o'grajn'o'j'n
sablogrundaj	sabl'o'grund'a'j
sablogrundoj	sabl'o'grund'o'j
sablohorloĝo	sabl'o'horloĝ'o
sablohorloĝoj	sabl'o'horloĝ'o'j
sablohorloĝon	sabl'o'horloĝ'o'n
sablohorloĝoforman	sabl'o'horloĝ'o'form'a'n
sablokasteloj	sabl'o'kastel'o'j
sablokastelojn	sabl'o'kastel'o'j'n
sablokastelon	sabl'o'kastel'o'n
sablokato	sabl'o'kat'o
sablokatoj	sabl'o'kat'o'j
sablokesto	sabl'o'kest'o
sablokestoj	sabl'o'kest'o'j
sablokeston	sabl'o'kest'o'n
sablokestludo	sabl'o'kest'lud'o
sablokolora	sabl'o'kolor'a
sablokoloraj	sabl'o'kolor'a'j
sablokolorajn	sabl'o'kolor'a'j'n
sablokoloran	sabl'o'kolor'a'n
sablokolore	sabl'o'kolor'e
sablokoloro	sabl'o'kolor'o
sablokovrita	sabl'o'kovr'it'a
sablokovritajn	sabl'o'kovr'it'a'j'n
sablokuko	sabl'o'kuk'o
sablomaroj	sabl'o'mar'o'j
sablomonto	sabl'o'mont'o
sablomontoj	sabl'o'mont'o'j
sablomonton	sabl'o'mont'o'n
sablomontetoj	sabl'o'mont'et'o'j
sablopalpanto	sabl'o'palp'ant'o
sablopapero	sabl'o'paper'o
sablopipio	sabl'o'pipi'o
sabloplena	sabl'o'plen'a
sabloplenaj	sabl'o'plen'a'j
sablopleniĝo	sabl'o'plen'iĝ'o
sablopolvo	sabl'o'polv'o
